title,link,image,lprice,hprice,mallName,productId,productType,brand,maker,category1,category2,category3,category4,search_keyword
빈플 전동 <b>우유거품기</b> 미니 핸드휘핑기 머랭기 반죽기 가정용 자동 휘핑 생크림기계 계란거품기,https://smartstore.naver.com/main/products/5465836250,https://shopping-phinf.pstatic.net/main_8301033/83010330726.3.jpg,12800,,빈플러스,83010330726,2,빈플러스,,디지털/가전,주방가전,커피머신/메이커,로스터/거품기,우유거품기
수동 라떼 우유거품 스팀기 스티머 밀크포머 로얄비아 <b>우유거품기</b> 350ml 전자렌지 가능,https://smartstore.naver.com/main/products/353840253,https://shopping-phinf.pstatic.net/main_9279940/9279940524.2.jpg,12500,,장커피,9279940524,2,,,생활/건강,주방용품,커피용품,우유거품기,우유거품기
올리 전동거품기 <b>우유거품기</b> 가정용 우유스팀기 밀크프로더,https://smartstore.naver.com/main/products/5397543314,https://shopping-phinf.pstatic.net/main_8294203/82942036840.3.jpg,59000,,올리 OLLY,82942036840,2,OLLY,,디지털/가전,주방가전,커피머신/메이커,로스터/거품기,우유거품기
일리 밀크프로더 <b>우유거품기</b> 화이트,https://search.shopping.naver.com/catalog/59287289544,https://shopping-phinf.pstatic.net/main_5928728/59287289544.20260317145411.jpg,96000,,네이버,59287289544,1,일리,,디지털/가전,주방가전,커피머신/메이커,로스터/거품기,우유거품기
네스프레소 <b>우유거품기</b> 나노 포머,https://smartstore.naver.com/main/products/12442254765,https://shopping-phinf.pstatic.net/main_8998676/89986765512.jpg,78000,,네스프레소 공식스토어,89986765512,2,네스프레소,네스프레소,디지털/가전,주방가전,커피머신/메이커,로스터/거품기,우유거품기
[무료교환] 무선 전동휘핑기 <b>우유거품기</b> 자동휘핑기계 휴대형,https://smartstore.naver.com/main/products/5803150588,https://shopping-phinf.pstatic.net/main_8334765/83347650002.6.jpg,16900,,집순이네 홈카페,83347650002,2,커피세컨즈,,디지털/가전,주방가전,커피머신/메이커,로스터/거품기,우유거품기
빈플러스 전동 <b>우유거품기</b> V2 화이트,https://search.shopping.naver.com/catalog/59153404067,https://shopping-phinf.pstatic.net/main_5915340/59153404067.20260305104549.jpg,64800,,네이버,59153404067,1,빈플러스,,디지털/가전,주방가전,커피머신/메이커,로스터/거품기,우유거품기
충전식 전동 <b>우유거품기</b> 고급형 미니 핸드휘핑기 머랭기 계란 생크림기계 무선 자동 휘핑기계,https://smartstore.naver.com/main/products/4820055284,https://shopping-phinf.pstatic.net/main_8236457/82364578042.10.jpg,24900,,빈플러스,82364578042,2,커피세컨즈,,디지털/가전,주방가전,커피머신/메이커,로스터/거품기,우유거품기
네스프레소 에어로치노4 블랙실버,https://search.shopping.naver.com/catalog/59287077122,https://shopping-phinf.pstatic.net/main_5928707/59287077122.20260317142223.jpg,119990,,네이버,59287077122,1,네스프레소,네스프레소,디지털/가전,주방가전,커피머신/메이커,로스터/거품기,우유거품기
수동 <b>우유거품기</b> 스텐 이중망 바리스타 밀크포머 스티머 라떼아트 스팀기 400ml,https://smartstore.naver.com/main/products/735691190,https://shopping-phinf.pstatic.net/main_1141531/11415319868.3.jpg,13500,,키친초이스,11415319868,2,벨르디자인,키친초이스,생활/건강,주방용품,커피용품,우유거품기,우유거품기
<b>우유</b>스팀기 가정용 라떼 스팀기 <b>우유</b>스팀기계 홈카페,https://search.shopping.naver.com/catalog/44696867084,https://shopping-phinf.pstatic.net/main_4469686/44696867084.20250517035533.jpg,37480,,네이버,44696867084,1,,,생활/건강,주방용품,커피용품,우유거품기,우유거품기
고급형 전동 <b>우유거품기</b> CV-F1 스탠드믹서 카페 가정용 무선 핸드 휘핑기 제빵 조리도구,https://smartstore.naver.com/main/products/5977819862,https://shopping-phinf.pstatic.net/main_8352231/83522319350.12.jpg,17800,,소울빈,83522319350,2,COVING,제이제이,디지털/가전,주방가전,커피머신/메이커,로스터/거품기,우유거품기
코스트코 일리 <b>우유거품기</b>+라떼 글라스 세트 밀크프로더 우유가열기,https://smartstore.naver.com/main/products/10922726729,https://shopping-phinf.pstatic.net/main_8846723/88467232764.2.jpg,109990,,해피 포포,88467232764,2,일리,일리,디지털/가전,주방가전,커피머신/메이커,로스터/거품기,우유거품기
빈플러스 핸디형 전동 <b>우유거품기</b>,https://search.shopping.naver.com/catalog/19895890876,https://shopping-phinf.pstatic.net/main_1989589/19895890876.20250628151501.jpg,11790,,네이버,19895890876,1,빈플러스,,디지털/가전,주방가전,커피머신/메이커,로스터/거품기,우유거품기
비바니 무선 <b>우유 거품기</b>,https://search.shopping.naver.com/catalog/52037658618,https://shopping-phinf.pstatic.net/main_5203765/52037658618.20241220143320.jpg,16900,,네이버,52037658618,1,비바니,비바니,디지털/가전,주방가전,커피머신/메이커,로스터/거품기,우유거품기
일리 <b>우유거품기</b> 밀크프로더 본사정품,https://smartstore.naver.com/main/products/7074544556,https://shopping-phinf.pstatic.net/main_8461904/84619044878.jpg,104000,,illy store,84619044878,2,일리,,디지털/가전,주방가전,커피머신/메이커,로스터/거품기,우유거품기
이케아 PRODUKT,https://search.shopping.naver.com/catalog/19425446920,https://shopping-phinf.pstatic.net/main_1942544/19425446920.20200703110714.jpg,1250,,네이버,19425446920,1,이케아,이케아,디지털/가전,주방가전,커피머신/메이커,로스터/거품기,우유거품기
미니휘핑기 전동 <b>우유거품기</b> 휘핑기계 머랭치기 자동휘핑기,https://smartstore.naver.com/main/products/8889390925,https://shopping-phinf.pstatic.net/main_8643389/86433891248.3.jpg,16800,,가정용업소용 전문몰,86433891248,2,,,디지털/가전,주방가전,커피머신/메이커,로스터/거품기,우유거품기
무선 전동 <b>우유거품기</b> 미니 핸드 휘핑기 머랭기 생크림기계 계란거품기 충전식 자동 일반형,https://smartstore.naver.com/main/products/9615538156,https://shopping-phinf.pstatic.net/main_8716004/87160040426.6.jpg,19900,,빈플러스,87160040426,2,커피세컨즈,,디지털/가전,주방가전,커피머신/메이커,로스터/거품기,우유거품기
네스프레소 <b>우유거품기</b> 에어로치노4,https://smartstore.naver.com/main/products/7154131343,https://shopping-phinf.pstatic.net/main_8469863/84698631665.19.jpg,149000,,네스프레소 공식스토어,84698631665,2,네스프레소,네스프레소,디지털/가전,주방가전,커피머신/메이커,로스터/거품기,우유거품기
수동 <b>우유거품기</b> 스텐 이중망 바리스타 밀크포머 스티머 라떼아트 스팀기 800ml,https://smartstore.naver.com/main/products/12339065711,https://shopping-phinf.pstatic.net/main_8988357/89883576428.jpg,15000,,키친초이스,89883576428,2,벨르디자인,키친초이스,생활/건강,주방용품,커피용품,우유거품기,우유거품기
시타 수동 <b>우유거품기</b> 스텐 이중망 400ml 600ml,https://smartstore.naver.com/main/products/467075056,https://shopping-phinf.pstatic.net/main_1189197/11891977540.3.jpg,14600,,커피올데이,11891977540,2,CITTA,CITTA,생활/건강,주방용품,커피용품,우유거품기,우유거품기
<b>우유</b> 스팀기 스티머 밀크 데우는기계 포머 라테 <b>거품기</b>,https://search.shopping.naver.com/catalog/45441461354,https://shopping-phinf.pstatic.net/main_4544146/45441461354.20251202044902.jpg,17360,,네이버,45441461354,1,,,생활/건강,주방용품,커피용품,우유거품기,우유거품기
무선 전동 <b>우유거품기</b> 핸드 거품기 휘핑기 밀크프로더 가정용 아인슈페너 크림 만들기,https://smartstore.naver.com/main/products/6830966312,https://shopping-phinf.pstatic.net/main_8437546/84375466634.5.jpg,9900,,모토잉,84375466634,2,알로꼬,,디지털/가전,주방가전,커피머신/메이커,로스터/거품기,우유거품기
신일 전동 <b>우유거품기</b> 미니 휘핑기 반죽기 베이킹 핸드믹서 휘핑기계,https://smartstore.naver.com/main/products/7042116110,https://shopping-phinf.pstatic.net/main_8458661/84586616432.jpg,43900,,가정용업소용 전문몰,84586616432,2,신일전자,SHINIL,디지털/가전,주방가전,커피머신/메이커,로스터/거품기,우유거품기
나노포머 리튬 하이엔드 <b>우유거품기</b> 밀크포머 라떼아트,https://smartstore.naver.com/main/products/8047597289,https://shopping-phinf.pstatic.net/main_8559209/85592097612.6.jpg,88000,,나노포머,85592097612,2,,,디지털/가전,주방가전,커피머신/메이커,로스터/거품기,우유거품기
더이엔 델리팬 DEL-MF700,https://search.shopping.naver.com/catalog/45813341618,https://shopping-phinf.pstatic.net/main_4581334/45813341618.20260211110243.jpg,67800,,네이버,45813341618,1,델리팬,더이엔,디지털/가전,주방가전,커피머신/메이커,로스터/거품기,우유거품기
자동 <b>우유</b> 스팀기 거품 밀크포머 업소용 메이커 라떼,https://search.shopping.naver.com/catalog/55365380790,https://shopping-phinf.pstatic.net/main_5536538/55365380790.20251214124124.jpg,365320,,네이버,55365380790,1,,,생활/건강,주방용품,커피용품,우유거품기,우유거품기
빈플 <b>우유거품기</b> 수동 라떼아트 스텐망 밀크포머 커피프레스 겸용 전자렌지가능 로즈골드 600,https://smartstore.naver.com/main/products/11692492119,https://shopping-phinf.pstatic.net/main_8923700/89237002586.1.jpg,26800,,빈플러스,89237002586,2,빈플러스,,생활/건강,주방용품,커피용품,우유거품기,우유거품기
일리 <b>우유거품기</b> + 라떼 글라스 세트 코스트코 밀크프로더 아이스라떼 핫초코 홈카페,https://smartstore.naver.com/main/products/12410097323,https://shopping-phinf.pstatic.net/main_8995460/89954608048.jpg,99900,,신난다점빵,89954608048,2,일리,,디지털/가전,주방가전,커피머신/메이커,로스터/거품기,우유거품기
마켓비 FROTHER <b>우유거품기</b>,https://search.shopping.naver.com/catalog/19425446923,https://shopping-phinf.pstatic.net/main_1942544/19425446923.20221230111511.jpg,1520,,네이버,19425446923,1,마켓비,마켓비,디지털/가전,주방가전,커피머신/메이커,로스터/거품기,우유거품기
드롱기 구름치노 250ml,https://search.shopping.naver.com/catalog/57738295710,https://shopping-phinf.pstatic.net/main_5773829/57738295710.20251112112113.jpg,107620,,네이버,57738295710,1,드롱기,,생활/건강,주방용품,커피용품,우유거품기,우유거품기
리큅 LMF-CH43,https://search.shopping.naver.com/catalog/30663718618,https://shopping-phinf.pstatic.net/main_3066371/30663718618.20220217092717.jpg,59000,,네이버,30663718618,1,리큅,리큅,디지털/가전,주방가전,커피머신/메이커,로스터/거품기,우유거품기
전동 <b>우유거품기</b> 카피탈리 밀크프로더 데우기 전동거품기,https://smartstore.naver.com/main/products/4417458052,https://shopping-phinf.pstatic.net/main_8196198/81961980557.1.jpg,99000,,이태리아저씨,81961980557,2,카피탈리,카피탈리시스템,디지털/가전,주방가전,커피머신/메이커,로스터/거품기,우유거품기
커피세컨즈 CS-M02,https://search.shopping.naver.com/catalog/28169985525,https://shopping-phinf.pstatic.net/main_2816998/28169985525.20210727102740.jpg,17000,,네이버,28169985525,1,커피세컨즈,,디지털/가전,주방가전,커피머신/메이커,로스터/거품기,우유거품기
전동 <b>우유거품기</b> 핸드휘핑기 미니머랭기 기계 계란 생크림 베이킹 whisk 무선,https://smartstore.naver.com/main/products/8893462235,https://shopping-phinf.pstatic.net/main_8643796/86437962558.2.jpg,5900,,COSTMALL,86437962558,2,코스트몰,,디지털/가전,주방가전,커피머신/메이커,로스터/거품기,우유거품기
Detao 스텐 <b>우유 거품기</b> 라떼거품기 홈카페 <b>우유거품기</b> 밀크프로더 304스텐,https://search.shopping.naver.com/catalog/58433211072,https://shopping-phinf.pstatic.net/main_5843321/58433211072.20260108210514.jpg,27970,,네이버,58433211072,1,,,생활/건강,주방용품,커피용품,우유거품기,우유거품기
비알레띠 글래스 <b>우유 거품기</b> 6컵,https://search.shopping.naver.com/catalog/59177662942,https://shopping-phinf.pstatic.net/main_5917766/59177662942.20260309071954.jpg,29900,,네이버,59177662942,1,비알레띠,,생활/건강,주방용품,커피용품,우유거품기,우유거품기
